                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4615,                 4.8974,                 1.5558,                 2.4809,                  6.014,                 1.3276,                      0,                      0,                      0,                      0,                 3.0241,                 4.9155,                 1.5423,                 2.3315,                 5.0887,                 1.2375,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.5476,                 5.0909,                 1.6395,                 2.6379,                  6.248,                 1.3451,                      0,                      0,                      0,                      0,                 2.8264,                 4.8437,                 1.4957,                 2.4323,                  5.104,                 1.2275,             0.00049995,             0.00049995,             0.00049995
                      3,                 2.3381,                 4.7878,                 1.5971,                  2.409,                 6.0155,                 1.3478,                      0,                      0,                      0,                      0,                 2.7829,                 4.8165,                  1.454,                  2.456,                 5.1064,                 1.2284,             0.00079984,             0.00079984,             0.00079984
                      4,                 2.3787,                 4.7021,                 1.5521,                 2.4832,                 5.7091,                 1.3085,                      0,                      0,                      0,                      0,                 2.4661,                 4.6389,                 1.2933,                 2.4273,                 5.0855,                 1.1814,              0.0010997,              0.0010997,              0.0010997
                      5,                 2.1378,                  4.589,                  1.437,                 2.3291,                 5.7045,                 1.2472,                      0,                      0,                      0,                      0,                 2.3737,                 4.5138,                 1.1769,                 2.3317,                 5.0047,                 1.1133,              0.0013994,              0.0013994,              0.0013994
                      6,                 1.7263,                 4.2937,                 1.1697,                 1.8975,                 5.4107,                 1.0971,                      0,                      0,                      0,                      0,                 2.2132,                 4.3365,                 1.0869,                 2.1648,                 4.9018,                 1.0261,              0.0016992,              0.0016992,              0.0016992
                      7,                 1.6214,                 4.2466,                  1.129,                 1.8675,                 5.6206,                 1.0752,                      0,                      0,                      0,                      0,                 2.1073,                 4.2638,                0.99965,                 1.8118,                 4.7909,                0.93502,              0.0019988,              0.0019988,              0.0019988
                      8,                 1.5758,                 3.9555,                  1.026,                 1.7915,                 4.9654,                0.98519,                      0,                      0,                      0,                      0,                 1.9052,                 4.1974,                0.96504,                 1.7468,                  4.767,                0.93175,              0.0022984,              0.0022984,              0.0022984
                      9,                 1.4611,                 3.7311,                 1.0234,                 1.5513,                 5.1475,                0.96952,                      0,                      0,                      0,                      0,                 1.9504,                 4.1608,                0.95151,                 1.6536,                 4.5532,                0.88436,              0.0025979,              0.0025979,              0.0025979
                     10,                 1.5918,                 3.3951,                0.98936,                 1.8208,                 4.4707,                0.94537,                      0,                      0,                      0,                      0,                 1.7924,                 4.1221,                0.90933,                 1.5608,                  4.526,                0.85741,              0.0028974,              0.0028974,              0.0028974
                     11,                 1.5858,                 2.9179,                0.97134,                 1.6173,                 4.1226,                0.92099,                0.01481,                0.03704,                0.03819,                0.00956,                 1.8015,                 4.0106,                0.94198,                 1.6136,                 4.6813,                0.87902,              0.0031968,              0.0031968,              0.0031968
                     12,                 1.4609,                 2.5849,                0.99603,                 1.5804,                 3.9898,                0.93486,                0.00422,                0.01852,                0.02033,                 0.0122,                 2.3778,                 4.1366,                   1.12,                 2.0549,                 4.7075,                 1.0262,              0.0034962,              0.0034962,              0.0034962
                     13,                 1.5384,                 2.3042,                0.97884,                 1.6426,                 3.6141,                0.92474,                0.00422,                0.01852,                0.00403,                0.00121,                 2.2111,                 4.0262,                 1.0365,                 1.8177,                 4.6218,                0.92123,              0.0037955,              0.0037955,              0.0037955
                     14,                 1.4711,                 2.1021,                0.95687,                 1.5705,                 3.3809,                0.91453,                0.00422,                0.01852,                0.00403,                0.00121,                 1.9245,                 4.0176,                0.96725,                 1.8453,                 4.7526,                0.95626,              0.0040947,              0.0040947,              0.0040947
                     15,                  1.423,                 2.0473,                0.98602,                 1.5099,                 3.5642,                0.93176,                0.00422,                0.01852,                0.00403,                0.00121,                 2.1859,                 4.0194,                 1.0015,                 1.8046,                 4.5522,                0.89575,              0.0043939,              0.0043939,              0.0043939
                     16,                 1.4683,                 1.8825,                0.98776,                 1.6282,                 3.3576,                0.94017,                0.00422,                0.01852,                0.00403,                0.00121,                  1.922,                 4.0761,                0.95601,                 1.8006,                 4.6221,                0.88934,               0.004693,               0.004693,               0.004693
                     17,                 1.5984,                 1.9793,                0.98996,                 1.7821,                 3.1822,                 0.9399,                0.00422,                0.01852,                0.00403,                0.00121,                 2.1585,                 4.1631,                 1.0342,                  1.933,                 4.6565,                0.97576,              0.0049921,              0.0049921,              0.0049921
                     18,                  1.542,                 1.9715,                0.96062,                 1.7238,                 3.1014,                0.92254,                0.00422,                0.01852,                0.00403,                0.00121,                 2.1345,                 4.1501,                 1.0246,                  1.783,                 4.6828,                 0.9479,              0.0052911,              0.0052911,              0.0052911
                     19,                 1.5373,                 1.7618,                0.98438,                 1.6821,                 3.1808,                0.93293,                0.00422,                0.01852,                0.00403,                0.00121,                 2.2784,                 4.1122,                 1.0289,                 1.8311,                  4.528,                0.89583,                0.00559,                0.00559,                0.00559
                     20,                 1.5726,                 1.9031,                 0.9712,                 1.6992,                 3.0166,                0.91118,                0.00422,                0.01852,                0.00403,                0.00121,                 2.3843,                 4.1905,                 1.0698,                 1.9783,                 4.7519,                0.96829,              0.0058889,              0.0058889,              0.0058889
                     21,                 1.5021,                 1.7449,                0.98315,                 1.6465,                 2.9745,                0.94085,                0.00422,                0.01852,                0.00403,                0.00121,                 1.9515,                 4.0665,                0.96483,                 1.8083,                 4.4915,                0.90056,              0.0061877,              0.0061877,              0.0061877
                     22,                 1.4448,                 1.7645,                0.95956,                 1.5635,                 3.0435,                0.90572,                0.00422,                0.01852,                0.00403,                0.00121,                 2.1685,                 4.2211,                 1.0729,                 1.9337,                 4.6693,                0.97759,              0.0064865,              0.0064865,              0.0064865
                     23,                 1.5068,                 1.7818,                0.96961,                 1.6111,                 3.0373,                0.92178,                0.00422,                0.01852,                0.00403,                0.00121,                 2.4476,                 4.2641,                 1.0753,                 2.0469,                 4.7717,                 1.0258,              0.0067852,              0.0067852,              0.0067852
