                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6442,                  5.179,                 1.5578,                 2.3158,                 7.1065,                  1.271,                      0,                      0,                      0,                      0,                 4.1052,                 5.8587,                  1.438,                 3.5567,                 5.2764,                 1.1423,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.3956,                 4.9049,                  1.414,                 2.3251,                 6.0174,                  1.179,                      0,                      0,                      0,                      0,                  4.073,                 5.7396,                 1.4508,                 3.5985,                 5.2877,                 1.1453,             7.1436e-05,             7.1436e-05,             7.1436e-05
                      3,                 2.5713,                 4.7611,                 1.3818,                 2.4214,                 5.7777,                 1.1679,                      0,                      0,                      0,                      0,                  3.938,                 5.5247,                 1.3871,                 3.5885,                 5.2807,                 1.1409,             0.00011427,             0.00011427,             0.00011427
                      4,                 2.0515,                 4.6082,                 1.1337,                 2.2011,                   5.87,                 1.0711,                      0,                      0,                      0,                      0,                 3.4671,                 5.2891,                 1.2244,                 3.4116,                 5.1622,                 1.0875,              0.0001571,              0.0001571,              0.0001571
                      5,                 2.0386,                 4.2397,                 1.0693,                 1.9862,                 5.2603,                0.97303,                      0,                      0,                      0,                      0,                  2.978,                 5.0008,                 1.1112,                 2.8655,                 5.0502,                0.99963,              0.0001999,              0.0001999,              0.0001999
                      6,                 1.8034,                 3.8146,                 1.0064,                 1.8744,                 4.8221,                0.93786,                      0,                      0,                      0,                      0,                 2.5504,                 4.7171,                0.96944,                  2.688,                 4.8625,                0.92845,             0.00024269,             0.00024269,             0.00024269
                      7,                 1.7425,                 3.4237,                 1.0235,                 1.8047,                 4.6951,                0.93639,                      0,                      0,                      0,                      0,                 2.7794,                 4.6138,                0.98879,                 2.6142,                 4.8491,                0.91501,             0.00028546,             0.00028546,             0.00028546
                      8,                 1.7119,                 3.1265,                0.94515,                 1.8065,                 4.2026,                0.89195,                      0,                      0,                      0,                      0,                 2.6075,                 4.5086,                 0.9594,                 2.4889,                 4.7852,                0.90474,             0.00032821,             0.00032821,             0.00032821
                      9,                 1.8576,                 2.9553,                0.98255,                 1.9919,                 4.4462,                0.94724,                      0,                      0,                      0,                      0,                 2.5564,                 4.5101,                0.92564,                 2.4875,                  4.791,                0.90017,             0.00037095,             0.00037095,             0.00037095
                     10,                 1.7337,                 2.7265,                0.95188,                 1.8109,                 4.0881,                0.90904,                      0,                      0,                      0,                      0,                 2.2767,                 4.4207,                0.93521,                 2.4183,                 4.7743,                0.89573,             0.00041367,             0.00041367,             0.00041367
